ID_furnizor;Denumire_furnizor;Cod_furnizor_contabilitate;ID_tert;Activ
4;CEAS CHEI PLUS V.H. SRL;10967310;7538;TRUE
5;POLTERGEIST SRL;11152462;7447;TRUE
6;REGENCY COMPANY SRL;11680026;6602;TRUE
7;VIRSAL SYSTEMS SRL;12093810;6631;TRUE
8;POMPE INSTAL SRL;12459520;7912;TRUE
9;SEA ROMANIA SRL;12472120;7729;TRUE
10;ANAMAR IMPEX SRL;12488798;7913;TRUE
11;GEOROM 91 S.R.L.;1316665;6556;TRUE
12;DUMCO ELECTRIC S.R.L.;1317881;7194;TRUE
13;HOLVER SRL;13312578;6687;TRUE
14;PHOENIXY SRL;1349786;6530;TRUE
15;CRIBER NET SRL;13503918;7182;TRUE
16;ROCAST SRL;13535090;7481;TRUE
17;COUNTEX SRL;13869987;6535;TRUE
18;VISTIM SRL;14119126;7847;TRUE
19;BRICOSTORE ROMANIA SA;14328360;6563;TRUE
20;DANTE INTERNATIONAL SA;14399840;6703;TRUE
21;ARTSANI COM SRL;14528066;6547;TRUE
22;PRESTCOM INSTAL SRL;14631150;7867;TRUE
23;CROWN COOL SRL;14911923;7896;TRUE
24;TEHVOROM SNAGOV SRL;15062753;6950;TRUE
25;ADRIA PROD COM SRL;15158506;7926;TRUE
26;BETCIF SRL;15650150;6568;TRUE
27;EURO DOMO CONSULT SRL;15841060;7841;TRUE
28;EURO-WOOD SRL;15850573;7760;TRUE
29;DORADI CERAMIC SRL;15902222;6829;TRUE
30;ALUPLAST SYSTEM SRL;16125213;7835;TRUE
31;DECOR DE LUX SRL;16150420;6707;TRUE
32;ETANCO ROMANIA S.R.L.;16275571;7766;TRUE
33;NOVATIK S.R.L.;16472484;6699;TRUE
34;COLORI SAN MARCO SRL;16481296;6646;TRUE
35;SENSO AMBIENTE SRL;16573152;7843;TRUE
36;BOGDACONS SRL;16691760;7471;TRUE
37;LEROY MERLIN ROMANIA SRL;16702141;7162;TRUE
38;HILTI ROMANIA S.R.L.;17131957;7411;TRUE
39;DANZECRIS SRL;17143005;7751;TRUE
40;MARIAD SERV SRL;17382290;7509;TRUE
41;COLOR SMART DISTRIBUTION S.R.L.;17400621;7287;TRUE
42;FIERONART SRL;17572384;7744;TRUE
43;COLOR-METAL SRL;17665726;7515;TRUE
44;HORNBACH CENTRALA SRL;17777320;6672;TRUE
45;JYSK ROMINIA SRL;18107744;7844;TRUE
46;HARDEX PRODUCTS S.R.L.;18366196;7396;TRUE
47;GARDENSIS SRL;18719573;7840;TRUE
48;CLASS BETON AGREGATE S.R.L.;19034454;6675;TRUE
49;SERVICE SYSTEMS INTERNATIONAL SRL;1974288;7921;TRUE
50;VASI I. CRISTINEL \FEROART\ INTREPRINDERE INDIVIDUALA;20098885;7082;TRUE
51;SYRANO CONSTRUCT SRL;21853523;6664;TRUE
52;SERMICOS CONSTRUCT S.R.L.;22851717;6979;TRUE
53;TEKA KUCHENTECHNIK ROMANIA S.R.L.;22971454;7728;TRUE
54;LUXFER SRL;23630722;7818;TRUE
55;ELECTROLUX ROMANIA SA;2385817;7821;TRUE
56;MUREXIN ROMANIA S.R.L.;24265161;7442;TRUE
57;ORAC ROMANIA S.R.L.;24265650;7886;TRUE
58;QUARTZ ELECTRO SRL;24996781;7829;TRUE
59;SPYSHOP SRL;25051565;7909;TRUE
60;RH COMMODITIES SRL;25651780;7906;TRUE
61;KLINKER-RO-IMP SRL;26037208;6670;TRUE
62;TOTAL RACE GROUP SRL;27012724;7924;TRUE
63;BANARIU VADRA S.R.L.;2706070;7399;TRUE
64;FLANCO RETAIL SA;27698631;6822;TRUE
65;MAMBRICOLAJ S.A.;27933834;7564;TRUE
66;PRO AMBIENT PROFESIONAL CONSTRUCT S.R.L.;28149682;7838;TRUE
67;DEDEMAN SRL;2816464;6743;TRUE
68;AQUATEC EVOLUTION SRL (ICA);28874426;7816;TRUE
69;ATU TECH SRL;29104875;7496;TRUE
70;VENTSYS INSTAL SRL;30202770;7773;TRUE
71;GARDENPEDIA SRL;30377941;7828;TRUE
72;GUNNEX S.R.L.;30488605;7934;TRUE
73;FITOMAG SRL;30712485;7714;TRUE
74;S.S.A.B. PROJECT SRL;31406590;7870;TRUE
75;TEHNO MEP SYSTEMS S.R.L.;31905956;7915;TRUE
76;LOSAN DEPOT SRL;32139008;7441;TRUE
77;CHIMTITAN S.R.L.;324996;7569;TRUE
78;HOMPLEX S.A.;32591037;7916;TRUE
79;CAD TECHNOLOGY PITS SRL;33085496;7805;TRUE
80;FIRST ELECTRO TEAM SRL;33157592;7772;TRUE
81;MATCONS PROF SRL;33339934;7784;TRUE
82;MAGSY RO SRL;33802027;7890;TRUE
83;BULLDOGU DEVELOPMENT S.R.L.;35276980;7923;TRUE
84;AUTO TERMINAL SRL;36149101;7645;TRUE
85;TRIVOLT DISTRIBUTION S.R.L.;36421140;7930;TRUE
86;LACATUL SERV SRL;36467652;7366;TRUE
87;GECA TRACK SRL;37850752;7928;TRUE
88;ATELIER VERTICAL MOB SRL;37919128;7716;TRUE
89;PROMO PLUS SRL;3903674;7899;TRUE
90;FISCHER FIXINGS ROMANIA S.R.L.;39701560;7824;TRUE
91;ALC ONLINE MOBILE S.R.L.;39726662;7895;TRUE
92;OFFICE ASSISTANT S.R.L.;40486822;7885;TRUE
93;ECO DREAM TEAM S.R.L.;40703662;7754;TRUE
94;ROTHO BLAAS ROMANIA S.R.L.;40776087;7624;TRUE
95;EAUTOMAT STORE S.R.L.;41173386;7852;TRUE
96;WORM SRL;4161816;7119;TRUE
97;ARCTIX CONSTRUCT S.R.L.;42525839;7933;TRUE
98;MAKE IT SMART S.R.L.;42822643;7941;TRUE
99;IEMINEE BENDIS S.R.L.;45469458;7908;TRUE
100;JULIEN STILE SRL;4653720;7898;TRUE
101;VALMARI 93 S.R.L.;4763994;7387;TRUE
102;B.D. PROSECOM SRL;4872797;7400;TRUE
103;MIRAS MATCONS DISTRIBUTION S.R.L.;50417528;7932;TRUE
104;WURTH ROMANIA SRL;5175127;7636;TRUE
105;ARABESQUE SRL;5340801;6623;TRUE
106;DAIKIN AIRCONDITIONING CENTRAL EUROPE - ROMANIA SRL;5575204;7851;TRUE
107;ROMSTAL IMEX SRL;5990324;6803;TRUE
108;MIRAS INTERNATIONAL SRL;6613926;7289;TRUE
109;VONREP SRL;6721561;7326;TRUE
110;SCONS SERV SRL;6824893;6795;TRUE
111;BORSA COM SRL;7090701;6608;TRUE
112;BAUMIT ROMANIA COM SRL;7568475;6555;TRUE
113;COLUMNA COM SRL;7815672;7869;TRUE
114;BACOSMI IMPEX S.R.L.;8210601;6898;TRUE
115;EKATRUST S.R.L.;8429459;6537;TRUE
116;DQ-PP SP. ZOO.;8513101785;7936;TRUE
117;BUNZL ROMANIA S.R.L.;8808509;7788;TRUE
118;EGLO ROMANIA PRODEXIM SRL;8863465;7165;TRUE
119;BLACK SEA SUPPLIERS SRL;8877045;7819;TRUE
120;CICAVIEN SRL;930755;7000;TRUE
121;ALGABETH COM SRL;9801703;6793;TRUE
122;EXPOTEHNICA SRL;10379328;44106;TRUE
124;EXPOTEHNICA SRL;10379328;6541;TRUE
125;METATOOLS SRL;11013871;6586;TRUE
126;HYTECH CONSTRUCTION SRL;33764365;7951;TRUE
127;INPA FASHION S.R.L.;40507097;7876;TRUE
128;PRO PLAST PRODCOM SRL;21249846;7702;TRUE
129;PRAGOSA ROMANIA SRL;21732840;7200;TRUE
130;SILVANITY SRL;12767377;7949;TRUE
131;ELECTRIC VALCOR SRL;17600425;7955;TRUE
